<<<<<<< HEAD
,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Visite virtuelle,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Salles de douche,Toilettes,Surface de la cave,Surface du terrain,Terrasse,Ascenseur,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Interphone vidéo,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO?,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Largeur de la façade à rue,Combien de feux ouverts ?,Surface de la chambre 4,Dressing,Bureau,Espace professionnel,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Concierge,Parlophone,Climatisation,Jacuzzi,Sauna,Internet,Attestation as-built,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Permis de bâtir obtenu,Type de construction,Surface constructible totale au sol,Salle à manger,Surface du grenier,Raccordement à l'égout,Attestation de conformité des citernes à mazout,Procédure pour violation de la réglementation urbanistique,Cave,Site internet,Grenier,Obligation de construire,Revenu cadastral,Buanderie,Autorisation de lotissement,Surface de l'espace professionnel,Salon,Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Jardin,Niveau E (performance énergétique globale),Quartier ou lieu-dit,Disponible le,Surface de bureau,Surface de la chambre 5,Informations supplémentaires,Pourcentage loué,Revenu mensuel actuel,Isolé,Description libre du PEB,Nom de l'agent
44,,1982,Fraîchement rénové,4,2,2,,,221 m²,63 m²,Américaine hyper-équipée,13 m²,3,20 m²,17 m²,16 m²,,2,3,,600 m²,,,,Oui,Oui,,306 kWh/m²,D,20210730-0002443828-RES-2,1000 kg CO?/m²,Non communiqué,Mazout,Oui,,,,475.000 €,Non,"Rue des Frères Lefort 12
1480 - Tubize",12 m,,,,Oui,,Non,,,,,,20 m,Oui,,Sud,12 m²,,,,,,,,Non,,,,,,,,,,,,,,2669 - V2117,,,1.271 €,,,,,,,,,,Oui,,,,7 m²,,,,,,,
45,,,Excellent état,2,2,2,Isolé,110 m²,35 m²,Hyper équipée,12 m²,4,13 m²,10 m²,15 m²,21 m²,1,1,Non,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Électrique,Oui,260.000 €,,,,Non,"Rue Wayez 1c
1070 - Anderlecht",4444885,,,1,,,,Non communiqué,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,À définir,1978,Bon,4,2,4,"Zone d'habitat (résidentiel, urbain ou rural)",,244 m²,43 m²,,11 m²,4,18 m²,12 m²,12 m²,2,2,2,,852 m²,Oui,,,,,,449 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Électrique,Oui,,Zone non inondable,,495.000 €,Non,"Oudesmidsestraat 20
1700 - Dilbeek",13.5 m,,20 m²,,,,,,,,,,22 m,Oui,,,,,,,,,,,,,,Oui,,,,,,,Connecté,,,Oui,4293391,Oui,,1.482 €,,,,,,,,,,,,,,,,,,,,,
47,,1959,À rafraîchir,,,,,,,32 m²,Équipée,6 m²,3,22 m²,12 m²,9 m²,1,,1,,216 m²,,,,,,,429 kWh/m²,E,20121124-0001256450-00000008-3,Non communiqué,Non communiqué,Mazout,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,Non,"Stationsstraat 8/2
1770 - Liedekerke",7.14 m,,,Non,Non,,,,Non,Non,Non,Non,7.14 m,Non,,,,,,,,,,,,,,,,,,,,,Connecté,,,,Molenstraat 158 - 17,,Non,,,,,,,,,,,,,,,,,,,,,,
48,Après la signature de l’acte,,Bon,3,,,Urbain,35 m²,,Équipée,12 m²,3,16 m²,20 m²,13 m²,1,1,,430 m²,,Connecté,526 kWh/m²,,,,,,F,20160218-0001835043-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",295.000 €,473 €,"Grote Baan 170
9310 - Herdersem",4403963,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,Oui,,Zone inondable potentielle,,,,,Non,,Non,,,,,,,,,,,,,,,,,,,
49,,1956,Fraîchement rénové,,,,,,,,Équipée,,3,,,,2,,2,,,,,,,,,573 kWh/m²,F,20210922-0002467508-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,265.000 €,Non,"Stationsstraat 8/2
1770 - Liedekerke",,,,Non,Non,,,,Non,Non,Non,Non,,Oui,,Est,,,,,,,,,,,,,,,,,,,Non connecté,,,,APPELBOOMSTRAAT 48,,,,,,,Oui,,,,,,Oui,,,,,,,,,,,
50,,,Excellent état,,,,,,,,Équipée,,3,,,,1,,,,,Oui,,,,,,211 kWh/m²,C,20120721-0001170591-00000007-9,Non communiqué,Non communiqué,Gaz,Oui,,,,245.000 €,Non,"Stationsstraat 8/2
1770 - Liedekerke",,,,Non,Non,,,,Non,Non,Non,Non,,Oui,,Nord,,,,,,,,,,,,,,,,,,,Connecté,,,,"Muilenstraat 116, 17",,,352 €,,,,Oui,,,,,,Oui,,,,,,,,,,,
51,,,Excellent état,2,,,,,,20 m²,,8 m²,2,13 m²,27 m²,,1,1,1,,73 m²,,,,,,,197 kWh/m²,B,20210609-0002426940-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,195.000 €,Non,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,,Oui,,,1 m²,,,,,,,,,Non,Non,Non,Non,,,,,,,Non,,,,,,262 €,,,,,,,,,,,,,,,,,,,,,
52,,,Excellent état,,1,,,,,,,,5,,,,1,,3,,,Oui,,,,,,258 kWh/m²,C,20210616-0002429533-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",275.000 €,Non,"Stationsstraat 8/2
1770 - Liedekerke",,,,Non,Non,,,,Non,Non,Non,Non,,Oui,,Ouest,,,,,,,,,,,,,,,,,,,Connecté,,,,Molenstraat 4C,,Non,,,,,Oui,,,,,,Oui,,,,,,,,,,,
53,,,À rénover,,,,,,,,,,2,,,,1,,,,,,,,,,,397 kWh/m²,D,20210629-0002434926-RES-1,Non communiqué,Non communiqué,,Non,,,,199.000 €,Non,"Stationsstraat 8/2
1770 - Liedekerke",,,,Non,Non,,,,Non,Non,Non,Non,,Oui,,,,,,,,,,,,,,,,,,,,,Non connecté,,,,Velodroom131,,,,,,,Oui,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,Équipée,,4,,,,,,,,,,,,,,,960 kWh/m²,F,20210615-0002429181-RES-1,Non communiqué,Non communiqué,Électrique,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",355.000 €,Oui,"Leuvensestraat 170
1800 - Vilvoorde",,,,Non,Non,,Non,,,,,,,,,,,,,,,,,,,Non,,,,Oui,,,,,,Non,Non,,Stationsstraat 136,,Non,,,Non,,Oui,,,,,,,,,,,,,,,,,
55,,,À rénover,,1,,,,,,,,4,,,,1,,,,,,,,,,,473 kWh/m²,E,20210930-0002470405-RES-1,Non communiqué,Non communiqué,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",265.000 €,Non,"Stationsstraat 8/2
1770 - Liedekerke",,,,Non,Non,,,,Non,Non,Non,Non,,Non,,Ouest,,,,,,,,,,,,,,,,,,,Non connecté,,,,pamelsestraat 157,,Non,,,,,Oui,,,,,,Oui,,,,,,,,,,,
56,,,,,,,,,,,Équipée,,3,,,,,,,,,,,,,,,385 kWh/m²,D,20210730-0002446626-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",215.000 €,Non,"Leuvensestraat 170
1800 - Vilvoorde",,,,Non,Non,,Non,,,,,,,,,,,,,,,,,,,Non,,,,Oui,,,,,,Non,Non,,stationsstraat 194,,Non,,,Non,,Oui,,,,,,,,,,,,,,,,,
57,,,,2,,,,,,,,,3,,,,1,,1,,344 m²,,,,,,,545 kWh/m²,F,20210809-0002449656-RES-2,Non communiqué,Non communiqué,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",250.000 €,Non,"Gemeenteplein, 14
1730 - Asse",,,,Non,Non,,Non,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,"Oui, conforme",,,,,Non,,,,,,spir615,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,3,,,,,,,,175 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,,350.000 €,Non,"206 Moorselestraat
8930 - Menen",,,,Non,Non,,,Non,Non,Non,Non,Non,,Non,,,,,,,,,,,,,,,,,,,,,Non connecté,,,,,,,,,,,,DVL-Liedekerke-20110,,,,,,,,,,,,,,,,
59,À définir,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Zone non inondable,,,Non,"Boshuisweg 50
2240 - Zandhoven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,Non,,,,,,,Non,,,,,,,,,,,,,,,,,,,
60,À définir,1974,Excellent état,4,1,3,Isolé,,287 m²,30 m²,Hyper équipée,15 m²,5,19 m²,17 m²,15 m²,2,1,3,,661 m²,,Non,Oui,Oui,,Non,340 kWh/m²,D,20210521-0002418453-RES-1,340 kg CO?/m²,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",695.000 €,Non,"Avenue des Cerisiers, 95
1200 - Woluwe-St-Lambert",11.36 m,,10 m²,,,,Non,,,,,,18.4 m,Oui,510 m²,,40 m²,,,,,,,,,,,,,,,661 m²,Oui,,Connecté,,Non,,4497601,Oui,,2.238 €,,,,,,,,,,,,,15 octobre 2021 - 00:00,,10 m²,,,,,,
61,,1976,Bon,2,,,,367 m²,140 m²,,,,,,,,,,,Non,Connecté,,,,,,,C,20160413-0001852826-1,Non communiqué,Non communiqué,295,Non,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",795.000 €,1.931 €,"De Limburgstirumlaan 21
1780 - Wemmel",,,,,,,,Non,566 m²,,,,,,295 kWh/m²,,,,,,,,,,,,Non,Non,Non,Oui,Immeuble à appartements,Non,,,,Oui,,Zone non inondable,,,,,Oui,,Non,,,,,,,,,Mazout,,,,,,,,,,
62,Après la signature de l’acte,1931,Bon,3,1,1,,,160 m²,38 m²,Équipée,14 m²,2,18 m²,10 m²,,1,,2,,245 m²,Oui,,,,,,850 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",350.000 €,Non,"Nieuwstraat 32b1
1730 - Asse",,,,,Oui,,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,Non,Oui,4444679,Oui,,832 €,,,,,,,,,,,,,,11 m²,,,,,,,
63,,2002,Bon,4,,,,177 m²,20 m²,Hyper équipée,13 m²,3,1,,,,11 m²,,,,Connecté,,,,,,,B,20210902-0002459022-RES-1,Non communiqué,Non communiqué,201,Non,Villa,Non,Autre type de zone,695.000 €,1.907 €,"De Limburgstirumlaan 21
1780 - Wemmel",,,,,,Oui,Non,Non,854 m²,,,,,,462 m²,30 m²,,201 kWh/m²,,,,,,,,,Non,Non,Non,Oui,,Non,,,,Oui,,Zone non inondable,,,,,Non,,Non,,,,,,,,,Gaz,,,Oui,,,,,,,
64,Après la signature de l’acte,1963,À rafraîchir,2,2,,,,160 m²,,Semi-équipée,8 m²,4,16 m²,15 m²,8 m²,1,,2,,674 m²,Oui,,,,,,515 kWh/m²,F,20210806-0002448420-RES-1,Non communiqué,Non communiqué,Gaz,,,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",385.000 €,Non,"Valkebeekstraat 24
1861 - Wolvertem",12 m,,8 m²,,,,Non,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,Non,Oui,322 - V21LON/077,,,1.348 €,,,,,,,,,,,,,,,,,,,,,
65,Après la signature de l’acte,1964,Excellent état,2,2,2,"Zone d'habitat (résidentiel, urbain ou rural)",,155 m²,51 m²,Équipée,10 m²,4,20 m²,16 m²,12 m²,,2,2,,197 m²,,,,,,,295 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,495.000 €,Non,"Brusselsesteenweg 65
1850 - Grimbergen",6 m,,8 m²,,,,Non,,,,,,6 m,Oui,,,12 m²,,,,,,,,Non,,,,,,,,,,,,,Oui,1816747 - VKG-2021-0,,,1.479 €,,,,,,,,,,,,,,,,,,,,,
66,Après la signature de l’acte,1994,Bon,4,2,3,,,180 m²,40 m²,Pas équipée,12 m²,5,19 m²,14 m²,14 m²,1,1,2,,1169 m²,Oui,,,,,,299 kWh/m²,C,2454694,Non communiqué,Non communiqué,Électrique,Oui,Non,Zone inondable potentielle,Autre type de zone,650.000 €,Non,"Meyskensstraat 222
1780 - Wemmel",13 m,1,9 m²,,,,Non,,,,,,27 m,,,Nord-est,,,,,,,,,Non,,,,,Oui,,,Oui,,,,,,1782415 - 2021/318/S,,,2.166 €,,Oui,,,,,,,,Oui,,,,,8 m²,,,,,,
67,,1899,À rafraîchir,2,,,,190 m²,7 m²,,,4,1,,,,57 m²,,,Non,Connecté,Non,Non,Oui,Non,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",635.000 €,1 €,"De Limburgstirumlaan 21
1780 - Wemmel",,,,,,,,Non,Non communiqué,,,,,,Oui,,,,,,,,,,,,Oui,Non,Non,Oui,,,,,,Oui,,Zone non inondable,,,,,Non,,Non,,,,,,,,,,,,,,,,,,,
68,Après la signature de l’acte,1965,À rafraîchir,2,1,2,,,260 m²,,Équipée,7 m²,5,17 m²,15 m²,15 m²,3,,3,,211 m²,Oui,,,,,,133 kWh/m²,B,2447682-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",560.000 €,Oui,"Meyskensstraat 222
1780 - Wemmel",,,7 m²,,,,Non,,,,,,6.5 m,,,Nord-est,,,,Oui,,,,,Non,,,,,Oui,,,,,,,,,1782517 - 2021/294/S,,,2.300 €,,,,,,,,,,Oui,,,,,7 m²,,,,,,
69,Après la signature de l’acte,1950,Bon,2,1,,,,204 m²,,Équipée,,4,,,,2,,2,,390 m²,,,,,,,372 kWh/m²,D,1255821,Non communiqué,Non communiqué,Gaz,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,Non,"Meyskensstraat 222
1780 - Wemmel",,,,,,,Non,,,,,,,,,Sud-ouest,,,,,,,,,Non,,,,,Oui,,,,,,,Non,,1782433 - 2021/328/S,,,2.293 €,,,,,,,,,,Oui,,,,,,,,,,,
70,,1978,Bon,2,3,,,,468 m²,,Semi-équipée,,11,,,,7,,7,,375 m²,Oui,Oui,,,,,242 kWh/m²,C,2409252,Non communiqué,Non communiqué,Gaz,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.595.000 €,Oui,"Meyskensstraat 222
1780 - Wemmel",,,,,,,Non,,,,,,,,,,,,,Oui,,,,,Non,,,,,Oui,,,,,,,Non,,1782323 - 2021/062/S,,,9.648 €,,,,,,,,,,,,,,,,,,,,,
71,Après la signature de l’acte,1936,À rafraîchir,2,,,,135 m²,27 m²,Oui,11 m²,4,2,,,,,1,Oui,,,,,,,,,D,20201123-0002340689-RES-1,Non communiqué,Non communiqué,Non,Oui,330.000 €,,,,Non,"Avenur Limburg Stirum , 194
1780 - Wemmel",217968 - 111114683,5 m,,,,,,Oui,,,,,,,40 m²,Sud-ouest,Oui,,,,390 kWh/m²,,,,,Gaz,,,,,,,,Hyper équipée,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,
72,À définir,1930,Bon,2,,,,,195 m²,33 m²,Équipée,8 m²,4,18 m²,15 m²,,2,2,2,,,Oui,Non,Non,,,Non,396 kWh/m²,D,20130404-0001343053-00000008-5,Non communiqué,Non communiqué,Gaz,,,,,349.900 €,Non,"Avenue François Sebrechts 26
1080 - Molenbeek",,,,,,,Non,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,4437928,,,,,,,,,,,,,,,,,,,,,,,,
73,Après la signature de l’acte,1981,,4,2,4,,,320 m²,112 m²,Américaine hyper-équipée,,4,47 m²,45 m²,35 m²,1,3,2,,1224 m²,,,,,,Oui,227 kWh/m²,C,20120108-0001006534-00000033-2,Non communiqué,Non communiqué,Gaz,Oui,,,,1.295.000 €,Non,"Markt 37
1780 - Wemmel",,,26 m²,,,,Non,,,,,,,,850 m²,Sud-est,,,,,,,,,Non,,,,,,,,,,,,,Oui,3967 - V21WEM/011,,,4.481 €,,,,,,,,,,,,,,,,,,,,,
74,,2020,Excellent état,2,,2,,,262 m²,35 m²,Équipée,12 m²,4,,,,2,,,,311 m²,Oui,Non,,,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,Oui,"Nieuwstraat 32b1
1730 - Asse",,,,,Oui,,Non,,,,,,,Oui,,,,,,,,,,,,,,Oui,,Oui,,,,,Connecté,,Non,,4532023,Oui,,,,Non,46 m²,,,,,,,,,,,,,,,,,,
75,Après la signature de l’acte,1942,,,1,,,,270 m²,,,15 m²,4,15 m²,13 m²,12 m²,2,,,,306 m²,,,,,,,324 kWh/m²,D,20091207-0000378816-00000009-6,Non communiqué,Non communiqué,Mazout,Oui,,,,485.000 €,Non,"Rue de Stalle 288C
1180 - Uccle",,1,11 m²,,,,Non,,Non,,,,,Oui,145 m²,Nord-est,17 m²,,,,,,,,Non,,,,,,,,Oui,,,,,Oui,14686 - 4138423,,,2.181 €,,,,,,,,,,,,,,,,,,,,,
76,,2021,,3,1,1,,,141 m²,45 m²,Équipée,24 m²,3,15 m²,10 m²,9 m²,1,,2,,260 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,595.000 €,Non,"Meyskensstraat 222
1780 - Wemmel",,,,,,,Non,,,,,,,,145 m²,,11 m²,,,,,,,,Non,,,,,,,,,,,,,,1782501 - 2021/359/S,,,,,,,,,,,,,,30,,1 septembre 2022 - 00:00,,,,,,,,
77,90 m²,,,,,,,613 kWh/m²,,,,,,,,,,,,,F,,,,,,,Non communiqué,Non communiqué,Non communiqué,150.000 €,1.070 €,,,,,,,Dorothy VAN WYMERSCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boulevard Saint-Michel, 70
1040 - BRUXELLES/BRUSSEL",,,,,,Non,(à partir du 29/9 au 22/10) : mercr. de 15-17h et sam. de 11-13h. MASQUE OBLIGATOIRE.,Après la signature de l’acte,Oui,,,,,,,,,,,,
78,,,,,2,2,,,340 m²,,,17 m²,4,30 m²,18 m²,17 m²,2,,2,,415 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,775.000 €,Non,"Markt 37
1780 - Wemmel",,,15 m²,,,,Non,,,,,,,,,Nord-est,41 m²,,,,,,,,Non,,,,,,,,Oui,,,,,,3979 - V21WEM/017,,,2.399 €,,,,,,,,,,Oui,,,,,,,,,,,
79,7,,,,,,,261 m²,,,,,Non communiqué,,,,,,,,Non communiqué,,,,,,,Non communiqué,Non communiqué,Non communiqué,"1er ét. : app. 2 ch., loué avec empl. voit. 829€ - 2e ét. : app. 2 ch. avec empl. voit. Loué 830€ - 3e ét. : app. 2 ch., libre © Grenier : studio 1 ch. (pas encore régularisé) - PEB : C-B-C.",550.000 €,,,,,,,Pieter RAES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oudergemselaan, 328
1040 - Etterbeek",,,,,,Non,"A visiter aux risques et périls des visiteurs : mercr. 6, 13, 20 et 27/10 de 14-16h et sam. 9, 16, 23 et 30/10 de 11-13h.",À définir,Oui,,,,,,,4.072 €,,,,,
80,,1985,,,2,1,,,400 m²,,,,5,,,,4,,2,,1968 m²,Oui,Non,Non,Oui,Oui,Oui,222 kWh/m²,C,20210120-0002362111-RES-1,Non communiqué,Non communiqué,,Non,,Zone non inondable,,1.070.000 €,Non,"Kortrijksesteenweg 241A
9830 - Sint-Martens-Latem",,,,Oui,Non,,,,Non,Non,Non,Non,,Oui,,Sud-ouest,,,Non,Oui,,,,,,,,,,,Toutes sortes,,Oui,,Connecté,,,Oui,ADB2021-018C,,Non,,Oui,,,Oui,,,,,,Oui,,,,,,,,,,,
81,Après la signature de l’acte,,Bon,4,,3,,,310 m²,60 m²,Américaine hyper-équipée,14 m²,4,15 m²,18 m²,19 m²,4,,2,,866 m²,Oui,,,Oui,,,453 kWh/m²,E,2424005,Non communiqué,Non communiqué,Mazout,Oui,Oui,Zone non inondable,,750.000 €,Non,"Assesteenweg 228
1742 - Ternat",,,14 m²,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Oui,,,,,Connecté,,Non,,4526702,,,4.784 €,,Oui,,,,,,,,,,,,,,,,,,,
82,,1972,À rénover,4,,2,Urbain,,274 m²,,Équipée,,4,,,,1,,2,,791 m²,,,,,,,709 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Mazout,,Oui,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",750.000 €,Non,"Kortrijksesteenweg 1121 Bus 0003
9051 - Gent",,,,,,,Non,,,,,,,,500 m²,,25 m²,,,,,,,,,,,,,Oui,,,,,,,Non,,SAS-21236,,,2.347 €,,,,,,,,,,,,,,,,,,,,,
83,,1957,Excellent état,2,1,1,"Zone d'habitat (résidentiel, urbain ou rural)",,171 m²,,,,3,,,,,1,2,,367 m²,,,,,,,348 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,,450.000 €,Non,,6 m,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,,Oui,268 m²,Sud-est,,,,,,,,,,Non,Non,Non,Non,,Toutes sortes,,Oui,,,,,Oui,,,,,,,,Oui,,,,,,,,,,,,,,,,,
84,,1960,,2,,,"Zone d'habitat (résidentiel, urbain ou rural)",,160 m²,30 m²,Équipée,,4,,,,1,1,2,,205 m²,,,,,,,394 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,410.000 €,Non,"Av. Houba de Strooper 618
1020 - Laeken",,,,,,,Non,,,,,,,,70 m²,,20 m²,,,Oui,,,,,Non,Non,Non,Non,,,,,Oui,,,,,Oui,4368-1,,,753 €,,,,,,,,,,,,,,,,,,,,,
85,Après la signature de l’acte,1950,Bon,3,1,5,,,396 m²,,Équipée,15 m²,6,19 m²,19 m²,14 m²,2,2,3,9 m²,755 m²,,Non,Non,Oui,,Non,600 kWh/m²,F,20180419-0002051260-1,3947 kg CO?/m²,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",749.000 €,Non,"Jozef de Vleminckstraat 4B
1853 - Strombeek-Bever",9 m,,14 m²,,Oui,,Non,,,,,,15.56 m,Oui,600 m²,,100 m²,,,,,,,,,,,,,Oui,,155 m²,Oui,12 m²,Connecté,,Non,,4292022,,,,,Non,,,,,,,,,,,1 octobre 2021 - 00:00,23 m²,15 m²,,,,,,
86,À définir,1958,Bon,1,,,,,170 m²,,Américaine hyper-équipée,15 m²,4,17 m²,15 m²,9 m²,1,1,2,,242 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,465.000 €,Non,,7 m,,9 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,,Oui,100 m²,,15 m²,,,,,,,,,Non,Non,Non,Oui,,Toutes sortes,,Oui,,,,,Oui,,Oui,,,Oui,,,Oui,,,,,,,,,,,,,,,,,
87,Après la signature de l’acte,,Bon,2,,,,,145 m²,30 m²,Américaine équipée,22 m²,3,18 m²,13 m²,16 m²,1,1,2,,178 m²,,Non,Oui,,,Non,288 kWh/m²,C,20210828-0002457263-RES-1,8864 kg CO?/m²,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,Non,"Jozef de Vleminckstraat 4B
1853 - Strombeek-Bever",5.26 m,,,,,,Non,,,,,,5.1 m,Oui,80 m²,,1 m²,,,Oui,,,,,,,,,,Oui,,,,,Connecté,,Non,Oui,4450842,Oui,,1.040 €,,Oui,,,,,,,,,,,,,,,,,,,
88,,,,2,1,1,"Zone d'habitat (résidentiel, urbain ou rural)",,164 m²,30 m²,Équipée,,4,,,,1,,2,,218 m²,,,,Oui,,,342 kWh/m²,D,Non communiqué,342 kg CO?/m²,Non communiqué,Gaz,Oui,,,,379.000 €,Non,"Av. Houba de Strooper 618
1020 - Laeken",,,,,,,Non,,,,,,,,120 m²,Sud-ouest,15 m²,Est,,,,,,,Non,Non,Non,Non,,,,,,,,,,Oui,4388,,,2.781 €,,,,,,,,,,,,,,,,,,,,,
89,,1989,Bon,2,1,,,,188 m²,40 m²,Hyper équipée,11 m²,3,17 m²,14 m²,10 m²,1,,3,,,Oui,,,Oui,,,152 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,475.000 €,Non,"Boulevard Theo Lambert 94
1070 - Bruxelles",,,,,Oui,,Non,,,,,,,,130 m²,,,,,,,,,,,,,Oui,,,,,,,,,,,4456533,Oui,,,,,,,,,,,,,,,,10 m²,,,,,,,
90,Après la signature de l’acte,1958,Bon,3,2,1,,,230 m²,20 m²,Équipée,9 m²,4,16 m²,10 m²,12 m²,1,,2,8 m²,365 m²,,Non,Non,Oui,Non,Non,Non communiqué,Non communiqué,20201124-0002343037-RES-1,433 kg CO?/m²,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",565.000 €,Non,,8 m,1,12 m²,Oui,Non,Non,Non,Non,Oui,Non,Oui,Non,,Oui,100 m²,Sud-est,40 m²,Sud-est,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Oui,Oui,,,Oui,,Connecté,,Non,,,Oui,Non,1.432 €,Oui,Oui,,,,,,,,,,,,,,,,,,,
91,Après la signature de l’acte,1989,Excellent état,4,2,2,,,500 m²,43 m²,Hyper équipée,,5,,,,2,1,4,,1905 m²,Oui,,,Oui,,,323 kWh/m²,D,20161108-0001908998-1,Non communiqué,Non communiqué,Gaz,Oui,,,,1.995.000 €,Non,"Chée de Vleurgat, 177
1050 - Ixelles",,1,,,Oui,,,Oui,,,,,,Oui,1750 m²,Sud,,Sud,,Oui,,,,,,,,,Oui,,,,Oui,,,,,Oui,64362,Oui,,6.455 €,,,,,,,,,,,,,,,,,,,,,
92,,1950,Bon,2,,,,,,,,,4,,,,1,,2,,205 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,394 kg CO?/m²,Non communiqué,Gaz,Oui,,,,375.000 €,Non,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,,Oui,70 m²,,20 m²,,,,,,,,,Non,Non,Non,Oui,,Toutes sortes,,,,Connecté,,,,,,,753 €,,,,,,,,,,,,,,,,,,,,,
